slug,dex,name,form,types,tier,bst,effectiveBst,megas,bestMegaTier,legal,notes,versionAdded,baseValue,valueOverride
qwilfish,211,Qwilfish,,Water/Poison,D,440,440,,,yes,,1.1.0,3000,
scizor,212,Scizor,,Bug/Steel,A,500,600,Mega Scizor [UR],UR,yes,,1.0.2,130000,
heracross,214,Heracross,,Bug/Fighting,C,500,600,Mega Heracross [UR],UR,yes,,1.0.2,30000,
skarmory,227,Skarmory,,Steel/Flying,B,465,565,Mega Skarmory [UR],UR,yes,,1.0.2,66000,
houndoom,229,Houndoom,,Dark/Fire,B,500,600,Mega Houndoom [UR],UR,yes,,1.0.2,72000,
tyranitar,248,Tyranitar,,Rock/Dark,A+,600,700,Mega Tyranitar [UR],UR,yes,,1.0.2,250000,
sceptile,254,Sceptile,,Grass,B,530,630,Mega Sceptile [UR],UR,yes,,1.1.0,77000,
blaziken,257,Blaziken,,Fire/Fighting,A,530,630,Mega Blaziken [UR],UR,yes,,1.1.0,136000,
swampert,260,Swampert,,Water/Ground,A+,535,635,Mega Swampert [UR],UR,yes,,1.1.0,244000,
pelipper,279,Pelipper,,Water/Flying,S,440,440,,,yes,,1.0.2,316000,
gardevoir,282,Gardevoir,,Psychic/Fairy,S,518,618,Mega Gardevoir [UR],UR,yes,,1.0.2,387000,
sableye,302,Sableye,,Dark/Ghost,A+,380,480,Mega Sableye [UR],UR,yes,,1.0.2,182000,
mawile,303,Mawile,,Steel/Fairy,A,380,480,Mega Mawile [UR],UR,yes,,1.1.0,106000,
aggron,306,Aggron,,Steel/Rock,B,530,630,Mega Aggron [UR],UR,yes,,1.0.2,77000,
medicham,308,Medicham,,Fighting/Psychic,C,410,510,Mega Medicham [UR],UR,yes,,1.0.2,21000,
manectric,310,Manectric,,Electric,B,475,575,Mega Manectric [UR],UR,yes,,1.0.2,68000,
swalot,317,Swalot,,Poison,D,467,467,,,yes,,1.2.0,4000,
sharpedo,319,Sharpedo,,Water/Dark,D,460,560,Mega Sharpedo [UR],UR,yes,,1.0.2,6000,
camerupt,323,Camerupt,,Fire/Ground,A,460,560,Mega Camerupt [UR],UR,yes,,1.0.2,122000,
torkoal,324,Torkoal,,Fire,A+,470,470,,,yes,,1.0.2,178000,
altaria,334,Altaria,,Dragon/Flying,B,490,590,Mega Altaria [UR],UR,yes,,1.0.2,70000,
milotic,350,Milotic,,Water,S,540,540,,,yes,,1.0.2,356000,
castform,351,Castform,,Normal,D,420,420,,,yes,,1.0.2,3000,
banette,354,Banette,,Ghost,C,455,555,Mega Banette [UR],UR,yes,,1.0.2,26000,
chimecho,358,Chimecho,,Psychic,D,455,555,Mega Chimecho [UR],UR,yes,,1.0.2,6000,
absol,359,Absol,,Dark,A+,465,565,Mega Absol [UR] | Mega Absol Z [UR],UR,yes,,1.0.2,216000,
glalie,362,Glalie,,Ice,C,480,580,Mega Glalie [UR],UR,yes,,1.0.2,28000,
salamence,373,Salamence,,Dragon/Flying,S,600,700,Mega Salamence [UR],UR,yes,,1.2.0,400000,
metagross,376,Metagross,,Steel/Psychic,A+,600,700,Mega Metagross [UR],UR,yes,,1.1.0,250000,
torterra,389,Torterra,,Grass/Ground,C,525,525,,,yes,,1.0.2,23000,
infernape,392,Infernape,,Fire/Fighting,B,534,534,,,yes,,1.0.2,61000,
empoleon,395,Empoleon,,Water/Steel,A,530,530,,,yes,,1.0.2,116000,
staraptor,398,Staraptor,,Normal/Flying,A+,485,585,Mega Staraptor [UR],UR,yes,,1.1.0,224000,
luxray,405,Luxray,,Electric,D,523,523,,,yes,,1.0.2,5000,
roserade,407,Roserade,,Grass/Poison,D,515,515,,,yes,,1.0.2,5000,
rampardos,409,Rampardos,,Rock,D,495,495,,,yes,,1.0.2,5000,
bastiodon,411,Bastiodon,,Rock/Steel,D,495,495,,,yes,,1.0.2,5000,
lopunny,428,Lopunny,,Normal,B,480,580,Mega Lopunny [UR],UR,yes,,1.0.2,69000,
spiritomb,442,Spiritomb,,Ghost/Dark,B,485,485,,,yes,,1.0.2,54000,
garchomp,445,Garchomp,,Dragon/Ground,S,600,700,Mega Garchomp [UR] | Mega Garchomp Z [UR],UR,yes,,1.0.2,400000,
lucario,448,Lucario,,Fighting/Steel,A+,525,625,Mega Lucario [UR] | Mega Lucario Z [UR],UR,yes,,1.0.2,240000,
hippowdon,450,Hippowdon,,Ground,C,525,525,,,yes,,1.0.2,23000,
toxicroak,454,Toxicroak,,Poison/Fighting,C,490,490,,,yes,,1.0.2,19000,
abomasnow,460,Abomasnow,,Grass/Ice,B,494,594,Mega Abomasnow [UR],UR,yes,,1.0.2,71000,
weavile,461,Weavile,,Dark/Ice,A,510,510,,,yes,,1.0.2,112000,
rhyperior,464,Rhyperior,,Ground/Rock,C,535,535,,,yes,,1.0.2,24000,
leafeon,470,Leafeon,,Grass,D,525,525,,,yes,,1.0.2,6000,
glaceon,471,Glaceon,,Ice,C,525,525,,,yes,,1.0.2,23000,
gliscor,472,Gliscor,,Ground/Flying,B,510,510,,,yes,,1.0.2,58000,
mamoswine,473,Mamoswine,,Ice/Ground,A,530,530,,,yes,,1.0.2,116000,
gallade,475,Gallade,,Psychic/Fighting,A,518,618,Mega Gallade [UR],UR,yes,,1.0.2,134000,
froslass,478,Froslass,,Ice/Ghost,A+,480,580,Mega Froslass [UR],UR,yes,,1.0.2,222000,
rotom,479,Rotom,,Electric/Ghost,A,440,520,,,yes,,1.0.2,114000,
serperior,497,Serperior,,Grass,C,528,528,,,yes,,1.0.2,23000,
emboar,500,Emboar,,Fire/Fighting,D,528,628,Mega Emboar [UR],UR,yes,,1.0.2,8000,
samurott,503,Samurott,,Water,D,528,528,,,yes,,1.0.2,6000,
samurott-hisui,503,Samurott,Hisuian Form,Water/Dark,B,528,528,,,yes,,1.0.2,60000,
watchog,505,Watchog,,Normal,D,420,420,,,yes,,1.0.2,3000,
liepard,510,Liepard,,Dark,C,446,446,,,yes,,1.0.2,15000,
simisage,512,Simisage,,Grass,D,498,498,,,yes,,1.0.2,5000,
simisear,514,Simisear,,Fire,D,498,498,,,yes,,1.0.2,5000,
simipour,516,Simipour,,Water,D,498,498,,,yes,,1.0.2,5000,
musharna,518,Musharna,,Psychic,D,487,487,,,yes,,1.1.0,4000,
excadrill,530,Excadrill,,Ground/Steel,A+,508,608,Mega Excadrill [UR],UR,yes,,1.0.2,233000,
audino,531,Audino,,Normal,B,445,545,Mega Audino [UR],UR,yes,,1.0.2,63000,
conkeldurr,534,Conkeldurr,,Fighting,B,505,505,,,yes,,1.0.2,57000,
scolipede,545,Scolipede,,Bug/Poison,C,485,585,Mega Scolipede [UR],UR,yes,,1.1.0,29000,
whimsicott,547,Whimsicott,,Grass/Fairy,A+,480,480,,,yes,,1.0.2,182000,
krookodile,553,Krookodile,,Ground/Dark,C,519,519,,,yes,,1.0.2,22000,
scrafty,560,Scrafty,,Dark/Fighting,B,488,588,Mega Scrafty [UR],UR,yes,,1.1.0,70000,
cofagrigus,563,Cofagrigus,,Ghost,C,483,483,,,yes,,1.0.2,18000,
garbodor,569,Garbodor,,Poison,D,474,474,,,yes,,1.0.2,4000,
zoroark,571,Zoroark,,Dark,C,510,510,,,yes,,1.0.2,21000,
zoroark-hisui,571,Zoroark,Hisuian Form,Normal/Ghost,A,510,510,,,yes,,1.0.2,112000,
reuniclus,579,Reuniclus,,Psychic,C,490,490,,,yes,,1.0.2,19000,
vanilluxe,584,Vanilluxe,,Ice,B,535,535,,,yes,,1.0.2,62000,
emolga,587,Emolga,,Electric/Flying,D,428,428,,,yes,,1.0.2,3000,
eelektross,604,Eelektross,,Electric,B,515,615,Mega Eelektross [UR],UR,yes,,1.1.0,74000,
chandelure,609,Chandelure,,Ghost/Fire,A,520,620,Mega Chandelure [UR],UR,yes,,1.0.2,134000,
beartic,614,Beartic,,Ice,D,505,505,,,yes,,1.0.2,5000,
stunfisk,618,Stunfisk,,Ground/Electric,D,471,471,,,yes,,1.0.2,4000,
stunfisk-galar,618,Stunfisk,Galarian Form,Ground/Steel,D,471,471,,,yes,,1.0.2,4000,
golurk,623,Golurk,,Ground/Ghost,C,483,583,Mega Golurk [UR],UR,yes,,1.0.2,28000,
hydreigon,635,Hydreigon,,Dark/Dragon,A,600,600,,,yes,,1.0.2,130000,
volcarona,637,Volcarona,,Bug/Fire,A+,550,550,,,yes,,1.0.2,210000,
chesnaught,652,Chesnaught,,Grass/Fighting,B,530,630,Mega Chesnaught [UR],UR,yes,,1.0.2,77000,
delphox,655,Delphox,,Fire/Psychic,A+,534,634,Mega Delphox [UR],UR,yes,,1.0.2,244000,
greninja,658,Greninja,,Water/Dark,A,530,630,Mega Greninja [UR],UR,yes,Regular form only,1.0.2,136000,
diggersby,660,Diggersby,,Normal/Ground,D,423,423,,,yes,,1.0.2,3000,
talonflame,663,Talonflame,,Fire/Flying,A+,499,499,,,yes,,1.0.2,190000,
vivillon-high-plains,666,Vivillon,,Bug/Flying,A,411,411,,,yes,,1.0.2,92000,
pyroar,668,Pyroar,,Fire/Normal,B,507,607,Mega Pyroar [UR],UR,yes,,1.1.0,73000,
floette-eternal,670,Floette,Eternal Flower,Fairy,A+,551,651,Mega Floette [UR],UR,yes,Transfer only,1.0.2,250000,
florges,671,Florges,,Fairy,D,552,552,,,yes,,1.0.2,6000,
gogoat,673,Gogoat,,Grass,C,531,531,,,yes,,1.2.0,23000,
pangoro,675,Pangoro,,Fighting/Dark,C,495,495,,,yes,,1.0.2,20000,
furfrou,676,Furfrou,,Normal,D,472,472,,,yes,,1.0.2,4000,
meowstic,678,Meowstic,,Psychic,B,466,566,Mega Meowstic [UR],UR,yes,,1.0.2,67000,
aegislash,681,Aegislash,,Steel/Ghost,A,500,500,,,yes,,1.0.2,110000,
aromatisse,683,Aromatisse,,Fairy,C,462,462,,,yes,,1.0.2,16000,
slurpuff,685,Slurpuff,,Fairy,D,480,480,,,yes,,1.0.2,4000,
malamar,687,Malamar,,Dark/Psychic,A,482,582,Mega Malamar [UR],UR,yes,,1.1.0,126000,
barbaracle,689,Barbaracle,,Rock/Water,D,500,600,Mega Barbaracle [UR],UR,yes,,1.1.0,8000,
dragalge,691,Dragalge,,Poison/Dragon,B,494,594,Mega Dragalge [UR],UR,yes,,1.1.0,71000,
clawitzer,693,Clawitzer,,Water,B,500,500,,,yes,,1.0.2,56000,
heliolisk,695,Heliolisk,,Electric/Normal,B,481,481,,,yes,,1.0.2,53000,
tyrantrum,697,Tyrantrum,,Rock/Dragon,D,521,521,,,yes,,1.0.2,5000,
aurorus,699,Aurorus,,Rock/Ice,C,521,521,,,yes,,1.0.2,22000,
sylveon,700,Sylveon,,Fairy,A+,525,525,,,yes,,1.0.2,200000,
hawlucha,701,Hawlucha,,Fighting/Flying,B,500,600,Mega Hawlucha [UR],UR,yes,,1.0.2,72000,
dedenne,702,Dedenne,,Electric/Fairy,D,431,431,,,yes,,1.0.2,3000,
goodra,706,Goodra,,Dragon,D,600,600,,,yes,,1.0.2,8000,
goodra-hisui,706,Goodra,Hisuian Form,Steel/Dragon,A,600,600,,,yes,,1.0.2,130000,
klefki,707,Klefki,,Steel/Fairy,B,470,470,,,yes,,1.0.2,51000,
trevenant,709,Trevenant,,Ghost/Grass,D,474,474,,,yes,,1.0.2,4000,
gourgeist,711,Gourgeist,,Ghost/Grass,D,494,494,,,yes,,1.0.2,5000,
avalugg,713,Avalugg,,Ice,D,514,514,,,yes,,1.0.2,5000,
avalugg-hisui,713,Avalugg,Hisuian Form,Ice/Rock,D,514,514,,,yes,,1.0.2,5000,
noivern,715,Noivern,,Flying/Dragon,B,535,535,,,yes,,1.0.2,62000,
decidueye,724,Decidueye,,Grass/Ghost,D,530,530,,,yes,,1.0.2,6000,
decidueye-hisui,724,Decidueye,Hisuian Form,Grass/Fighting,C,530,530,,,yes,,1.0.2,23000,
incineroar,727,Incineroar,,Fire/Dark,S,530,530,,,yes,,1.0.2,352000,
primarina,730,Primarina,,Water/Fairy,A+,530,530,,,yes,,1.0.2,202000,
toucannon,733,Toucannon,,Normal/Flying,D,485,485,,,yes,,1.0.2,4000,
crabominable,740,Crabominable,,Fighting/Ice,B,478,578,Mega Crabominable [UR],UR,yes,,1.0.2,68000,
lycanroc,745,Lycanroc,,Rock,B,487,487,,,yes,,1.0.2,54000,
toxapex,748,Toxapex,,Poison/Water,A,495,495,,,yes,,1.0.2,109000,
mudsdale,750,Mudsdale,,Ground,C,500,500,,,yes,,1.0.2,20000,
araquanid,752,Araquanid,,Water/Bug,B,454,454,,,yes,,1.0.2,49000,
salazzle,758,Salazzle,,Poison/Fire,C,480,480,,,yes,,1.0.2,18000,
tsareena,763,Tsareena,,Grass,A,510,510,,,yes,,1.0.2,112000,
oranguru,765,Oranguru,,Normal/Psychic,B,490,490,,,yes,,1.0.2,54000,
passimian,766,Passimian,,Fighting,D,490,490,,,yes,,1.0.2,5000,
golisopod,768,Golisopod,,Bug/Water,S,530,630,Mega Golisopod [UR],UR,yes,,1.2.0,392000,
mimikyu,778,Mimikyu,,Ghost/Fairy,A,476,476,,,yes,,1.0.2,105000,
drampa,780,Drampa,,Normal/Dragon,B,485,585,Mega Drampa [UR],UR,yes,,1.0.2,70000,
kommo-o,784,Kommo-o,,Dragon/Fighting,A+,600,600,,,yes,,1.0.2,230000,
rillaboom,812,Rillaboom,,Grass,S,530,530,,,yes,,1.2.0,352000,
cinderace,815,Cinderace,,Fire,A,530,530,,,yes,,1.2.0,116000,
inteleon,818,Inteleon,,Water,A,530,530,,,yes,,1.2.0,116000,
corviknight,823,Corviknight,,Flying/Steel,A+,495,495,,,yes,,1.0.2,188000,
thievul,828,Thievul,,Dark,C,455,455,,,yes,,1.2.0,16000,
flapple,841,Flapple,,Grass/Dragon,D,485,485,,,yes,,1.0.2,4000,
appletun,842,Appletun,,Grass/Dragon,D,485,485,,,yes,,1.0.2,4000,
sandaconda,844,Sandaconda,,Ground,D,510,510,,,yes,,1.0.2,5000,
toxtricity,849,Toxtricity,,Electric/Poison,A,502,502,,,yes,,1.2.0,110000,
grapploct,853,Grapploct,,Fighting,B,480,480,,,yes,,1.2.0,53000,
polteageist,855,Polteageist,,Ghost,D,508,508,,,yes,,1.0.2,5000,
hatterene,858,Hatterene,,Psychic/Fairy,A+,510,510,,,yes,,1.0.2,194000,
grimmsnarl,861,Grimmsnarl,,Dark/Fairy,A+,510,510,,,yes,,1.1.0,194000,
perrserker,863,Perrserker,,Steel,B,440,440,,,yes,,1.2.0,46000,
sirfetchd,865,Sirfetch'd,,Fighting,A,507,507,,,yes,,1.2.0,111000,
mr-rime,866,Mr. Rime,,Ice/Psychic,C,520,520,,,yes,,1.0.2,22000,
runerigus,867,Runerigus,,Ground/Ghost,C,483,483,,,yes,,1.0.2,18000,
alcremie,869,Alcremie,,Fairy,C,495,495,,,yes,,1.0.2,20000,
falinks,870,Falinks,,Fighting,D,470,570,Mega Falinks [UR],UR,yes,,1.1.0,7000,
pincurchin,871,Pincurchin,,Electric,A,435,435,,,yes,,1.2.0,97000,
indeedee,876,Indeedee,,Psychic/Normal,S,475,475,,,yes,,1.2.0,330000,
morpeko,877,Morpeko,,Electric/Dark,C,436,436,,,yes,,1.0.2,14000,
dragapult,887,Dragapult,,Dragon/Ghost,A,600,600,,,yes,,1.0.2,130000,
wyrdeer,899,Wyrdeer,,Normal/Psychic,C,525,525,,,yes,,1.0.2,23000,
kleavor,900,Kleavor,,Bug/Rock,A,500,500,,,yes,,1.0.2,110000,
basculegion,902,Basculegion,,Water/Ghost,S,530,530,,,yes,,1.0.2,352000,
sneasler,903,Sneasler,,Fighting/Poison,S,510,510,,,yes,,1.0.2,344000,
overqwil,904,Overqwil,,Dark/Poison,B,510,510,,,yes,,1.1.0,58000,
meowscarada,908,Meowscarada,,Grass/Dark,A,530,530,,,yes,,1.0.2,116000,
skeledirge,911,Skeledirge,,Fire/Ghost,B,530,530,,,yes,,1.0.2,61000,
quaquaval,914,Quaquaval,,Water/Fighting,C,530,530,,,yes,,1.0.2,23000,
pawmot,923,Pawmot,,Electric/Fighting,A+,490,490,,,yes,,1.0.2,186000,
maushold,925,Maushold,,Normal,A+,470,470,,,yes,,1.0.2,178000,
arboliva,930,Arboliva,,Normal/Grass,C,510,510,,,yes,,1.2.0,21000,
squawkabilly,931,Squawkabilly,,Normal/Flying,C,417,417,,,yes,,1.2.0,12000,
garganacl,934,Garganacl,,Rock,C,500,500,,,yes,,1.0.2,20000,
armarouge,936,Armarouge,,Fire/Psychic,A+,525,525,,,yes,,1.0.2,200000,
ceruledge,937,Ceruledge,,Fire/Ghost,A,525,525,,,yes,,1.0.2,115000,
bellibolt,939,Bellibolt,,Electric,B,495,495,,,yes,,1.0.2,55000,
mabosstiff,943,Mabosstiff,,Dark,C,505,505,,,yes,,1.2.0,21000,
scovillain,952,Scovillain,,Grass/Fire,A,486,586,Mega Scovillain [UR],UR,yes,,1.0.2,127000,
espathra,956,Espathra,,Psychic,A,481,481,,,yes,,1.0.2,106000,
tinkaton,959,Tinkaton,,Fairy/Steel,B,506,506,,,yes,,1.0.2,57000,
palafin,964,Palafin,,Water,B,457,650,,,yes,,1.0.2,80000,
orthworm,968,Orthworm,,Steel,C,480,480,,,yes,,1.0.2,18000,
glimmora,970,Glimmora,,Rock/Poison,A+,525,625,Mega Glimmora [UR],UR,yes,,1.0.2,240000,
houndstone,972,Houndstone,,Ghost,B,488,488,,,yes,,1.1.0,54000,
annihilape,979,Annihilape,,Fighting/Ghost,A+,535,535,,,yes,,1.1.0,204000,
farigiraf,981,Farigiraf,,Normal/Psychic,S,520,520,,,yes,,1.0.2,348000,
kingambit,983,Kingambit,,Dark/Steel,S,550,550,,,yes,,1.0.2,360000,
baxcalibur,998,Baxcalibur,,Dragon/Ice,A+,600,700,Mega Baxcalibur [UR],UR,yes,,1.2.0,250000,
gholdengo,1000,Gholdengo,,Steel/Ghost,S,550,550,,,yes,,1.1.0,360000,
sinistcha,1013,Sinistcha,,Grass/Ghost,A+,508,508,,,yes,,1.0.2,193000,
archaludon,1018,Archaludon,,Steel/Dragon,S,600,600,,,yes,,1.0.2,380000,
hydrapple,1019,Hydrapple,,Grass/Dragon,C,540,540,,,yes,,1.0.2,24000,
